fold,score,r2,n_sample,source,sub_name,best_params,feature_type,features T-7,features T-6,features T-5,features T-4,features T-3,features T-2,features T-1
25,-0.1292435839174672,-0.1824005830221144,473,same,26,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.10014225,0.13168049,0.14627823,0.15380776,0.15820295,0.15963915,0.1606153
26,-0.0820950263410258,-0.1600054404390849,473,same,27,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.11457274,0.14528154,0.15806265,0.16444553,0.16812262,0.1697047,0.17093024
27,0.1839425483042287,0.150344442722113,473,same,28,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,-0.0463225,-0.08818825,-0.12532413,-0.15834372,-0.18728966,-0.21257102,-0.23473912
28,-0.2176718327482667,-0.2230351213933898,473,same,29,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.10044339,0.15189081,0.17785525,0.19016188,0.19605902,0.1990235,0.2002122
29,-0.0894654409083095,-0.1075125226764424,473,same,30,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.116511226,0.15590547,0.17232135,0.17922089,0.1820375,0.18273945,0.18273729
30,-0.0753932161076593,-0.1037832942691099,473,same,31,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.15850765,0.2118399,0.23549733,0.245486,0.24962294,0.25155884,0.25266024
31,-0.0264816463027357,-0.0837820382656706,473,same,32,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.098173834,0.13067903,0.14649741,0.15462318,0.15836205,0.16028439,0.16089565
32,-0.0152095492747161,-0.1034714008874007,473,same,33,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.045463126,0.049914986,0.048553742,0.04582544,0.041970193,0.038882826,0.036857214
33,0.1486974101080682,0.0848787664389757,473,same,34,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.2708836,0.33949506,0.36088982,0.36823153,0.3706845,0.37175912,0.37208956
34,-0.0114039987674925,-0.245880151129189,473,same,35,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.28577706,0.34616196,0.36690882,0.3733699,0.3756776,0.37642094,0.37667271
35,0.0025924114066457,-0.0636327985820663,473,same,36,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,-0.01293753,-0.040987287,-0.06556216,-0.08693809,-0.10484569,-0.12068394,-0.1351853
36,-0.1824868099726189,-0.222666416682435,473,same,37,"input(,7,2)->lstm(,7,1)->output(,1)",confidence-accuracy,0.13751735,0.18647324,0.21098487,0.2235148,0.23033549,0.23397653,0.23602681
