filename,sub,accuracy,RT,feature1,feature2,feature3,feature4,feature5,feature6,feature7,targets
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,1,0.636,0.384,0.943,0.475,0.801,0.355,0.817,1.247,0.636
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,1,0.393,0.943,0.475,0.801,0.355,0.817,1.247,0.636,0.393
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,1,0.453,0.475,0.801,0.355,0.817,1.247,0.636,0.393,0.453
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,1,0.545,0.801,0.355,0.817,1.247,0.636,0.393,0.453,0.545
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,1,0.365,0.355,0.817,1.247,0.636,0.393,0.453,0.545,0.365
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,0,0.419,0.817,1.247,0.636,0.393,0.453,0.545,0.365,0.419
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,1,0.405,1.247,0.636,0.393,0.453,0.545,0.365,0.419,0.405
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,1,0.293,0.636,0.393,0.453,0.545,0.365,0.419,0.405,0.293
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,0,0.527,0.393,0.453,0.545,0.365,0.419,0.405,0.293,0.527
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,1,0.321,0.453,0.545,0.365,0.419,0.405,0.293,0.527,0.321
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,1,0.686,0.545,0.365,0.419,0.405,0.293,0.527,0.321,0.686
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,0,0.561,0.365,0.419,0.405,0.293,0.527,0.321,0.686,0.561
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,0,0.332,0.419,0.405,0.293,0.527,0.321,0.686,0.561,0.332
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,1,0.55,0.405,0.293,0.527,0.321,0.686,0.561,0.332,0.55
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,0,0.633,0.293,0.527,0.321,0.686,0.561,0.332,0.55,0.633
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,1,0.415,0.527,0.321,0.686,0.561,0.332,0.55,0.633,0.415
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,0,0.769,0.321,0.686,0.561,0.332,0.55,0.633,0.415,0.769
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,0,0.725,0.686,0.561,0.332,0.55,0.633,0.415,0.769,0.725
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,1,0.354,0.561,0.332,0.55,0.633,0.415,0.769,0.725,0.354
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,1,0.87,0.332,0.55,0.633,0.415,0.769,0.725,0.354,0.87
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,0,0.549,0.55,0.633,0.415,0.769,0.725,0.354,0.87,0.549
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,1,0.383,0.633,0.415,0.769,0.725,0.354,0.87,0.549,0.383
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,1,0.514,0.415,0.769,0.725,0.354,0.87,0.549,0.383,0.514
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,1,0.382,0.769,0.725,0.354,0.87,0.549,0.383,0.514,0.382
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,0,0.169,0.725,0.354,0.87,0.549,0.383,0.514,0.382,0.169
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,0,0.411,0.354,0.87,0.549,0.383,0.514,0.382,0.169,0.411
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,0,0.126,0.87,0.549,0.383,0.514,0.382,0.169,0.411,0.126
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,1,0.849,0.549,0.383,0.514,0.382,0.169,0.411,0.126,0.849
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,0,0.264,0.383,0.514,0.382,0.169,0.411,0.126,0.849,0.264
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,0,0.299,0.514,0.382,0.169,0.411,0.126,0.849,0.264,0.299
../data/datasets/mem_4-point/data_Siedlecka_2018_Exp2.csv,1,0,0.417,0.382,0.169,0.411,0.126,0.849,0.264,0.299,0.417
