fold,score,r2,n_sample,source,sub_name,best_params,feature_type,source_data,target_data,features T-7,features T-6,features T-5,features T-4,features T-3,features T-2,features T-1
30,0.002534615879378199,-0.0644123051564327,503,same,31,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Perception,Perception,0.0035644637646035093,0.0008046009609440352,0.005489531730003683,0.0034763464616800245,-0.004634897067155297,-0.04303547925576732,0.09528705357051712
31,-0.032491781094557304,-0.09340821702076596,471,same,32,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Perception,Perception,-0.007706114037321532,0.006251912822296734,0.022466368510763113,-0.00047633874983872283,-0.004559817211972827,-0.01428513265785627,0.052679685423597265
32,-0.06107993235721776,-0.10490872275553986,495,same,33,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Perception,Perception,8.268630543462053e-06,-0.0017098915039248208,0.002425008819998853,0.0017031220080862663,-0.00027635223018322995,0.03544636405238051,0.030406944391918468
33,0.059052873432952735,0.058913472776807696,487,same,34,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Perception,Perception,0.007326900404107573,0.00039362497791430864,-0.004063412694698143,-0.0054230742224517185,-0.0005891201710645832,-0.00573864398055648,0.12591094210366705
34,0.17295213824457956,0.14368432834410838,487,same,35,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:100|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Perception,Perception,0.0008556711347119661,0.007679343241915881,0.012054806698981601,0.01383011239998162,-0.006805757936824053,0.022857210077211088,0.20127952048538433
35,-0.04541840318085777,-0.04816435117096529,503,same,36,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Perception,Perception,-0.0029487733382391303,-0.001326672221551295,0.004934715246813192,-0.0004593119987663208,-0.0008840767362047419,0.0020576975319590574,0.015130779198888833
36,0.13105923715229573,0.13088097268301613,495,same,37,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:100|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Perception,Perception,-0.0031837562993378256,-0.02214527004814857,-0.015657163811562548,-0.007508379915021779,-0.006634680537802917,0.0025743309368666755,0.20005482556599413
37,0.15077078206037597,0.12786124913845132,493,same,38,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Perception,Perception,0.009122863494171551,0.004834053238322866,9.492291805672793e-05,0.009250730289619225,0.0011333037758094688,0.028819848574794027,0.1477230957220978
38,0.11015193376222532,0.05934688131545429,503,same,39,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Perception,Perception,0.005019485927944101,0.008692460843869366,0.0041612535767973965,0.017401123929460315,0.013432426081348314,0.025499603861034913,0.11389848915400284
39,0.06736621340861726,0.058648031249223354,495,same,40,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:100|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Perception,Perception,-0.00839741837573169,-0.009808450917385424,0.00015595304132849376,0.0057821129426287145,-0.00765363076028065,-0.00015755532532135685,0.1020359665838152
40,0.21234801562067462,0.19870579939180233,478,same,41,bootstrap:True|ccp_alpha:0.0|criterion:squared_error|max_depth:6|max_features:auto|max_leaf_nodes:None|max_samples:None|min_impurity_decrease:0.0|min_samples_leaf:1|min_samples_split:2|min_weight_fraction_leaf:0.0|n_estimators:1000|n_jobs:1|oob_score:False|random_state:12345|verbose:0|warm_start:False,confidence,Perception,Perception,0.021274161171373172,0.008199284946155228,0.011843465530292696,0.009779189471392646,0.010879435120142045,0.03148779095193037,0.1404925468741374
